"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","flesh_color_25center1_8","flesh_color_25outer1_8","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6218A-12_6",1,6,1,6,"test"," (Operator: lizbethpino, Time: )","SM6218A-12","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,11.2697792,5.7074413,3,NA,40.8377686,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,4,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,0,5,NA,NA,1,4
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6218A-4_41",1,41,7,5,"test"," (Operator: lizbethpino, Time: )","SM6218A-4","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,9.1534834,4.6645908,4,NA,40.6261978,NA,NA,2,100,NA,NA,NA,5,1,NA,NA,5,4,NA,NA,2,2,NA,4,NA,NA,NA,NA,NA,12,5,NA,NA,1,4
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6253A-4_22",1,22,4,3,"test"," (Operator: lizbethpino, Time: )","SM6253A-4","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",8.97412199630314,21.2969808995687,18.9285469,9.9114275,3,NA,41.8354988,NA,NA,2,100,NA,NA,NA,2,1,NA,NA,5,4,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,1,5,NA,NA,1,5
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6267A-3_18",1,18,3,6,"test"," (Operator: lizbethpino, Time: )","SM6267A-3","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",8.59992472713583,18.7692886714339,20.5265503,14.7723074,2,NA,38.1095543,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,3,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,0,5,NA,NA,1,6
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6268A-3_26",1,26,5,2,"test"," (Operator: lizbethpino, Time: )","SM6268A-3","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,22.0026379,14.6369925,3,NA,40.5231323,NA,NA,2,100,NA,NA,NA,4,1,NA,NA,5,3,NA,NA,2,3,NA,4,NA,NA,NA,NA,NA,0,5,NA,NA,1,4
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6276A-15_50",1,50,9,1,"test"," (Operator: lizbethpino, Time: )","SM6276A-15","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2.56493741408004,5.67252731350845,22.1719532,17.2735672,2,NA,34.6815071,NA,NA,2,100,NA,NA,NA,5,1,NA,NA,5,3,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,0,5,NA,NA,1,8
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6276A-25_44",1,44,8,5,"test"," (Operator: lizbethpino, Time: )","SM6276A-25","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",4.06055718856489,9.37751996462294,20.6289539,13.2969618,3,NA,45.28722,NA,NA,2,100,NA,NA,NA,5,1,NA,NA,5,3,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,2,5,NA,NA,1,6
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6276A-3_35",1,35,6,2,"test"," (Operator: lizbethpino, Time: )","SM6276A-3","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",1.49540517961571,3.95433027011976,20.0969486,13.3837891,3,NA,35.2338905,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,4,NA,NA,2,3,NA,4,NA,NA,NA,NA,NA,0,5,NA,NA,1,5
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6276A-8_30",1,30,5,6,"test"," (Operator: lizbethpino, Time: )","SM6276A-8","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",5.3248656570591,14.0498290180752,19.0971432,9.9017611,3,NA,39.1077995,NA,NA,2,100,NA,NA,NA,4,1,NA,NA,5,2,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,1,5,NA,NA,1,6
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6296A-2_40",1,40,7,4,"test"," (Operator: lizbethpino, Time: )","SM6296A-2","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",4.12653580002825,10.2160711763875,17.4134712,12.9747963,4,NA,35.5402679,NA,NA,2,80,NA,NA,NA,4,1,NA,NA,5,5,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,0,4,NA,NA,1,6
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6315A-16_10",1,10,2,3,"test"," (Operator: lizbethpino, Time: )","SM6315A-16","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,22.0048923,15.5220108,2,NA,38.0758209,NA,NA,2,100,NA,NA,NA,2,1,NA,NA,5,4,NA,NA,2,3,NA,5,NA,NA,NA,NA,NA,0,5,NA,NA,1,4
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6317A-1_17",1,17,3,5,"test"," (Operator: lizbethpino, Time: )","SM6317A-1","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,21.9491348,14.5989695,3,NA,42.5778847,NA,NA,2,80,NA,NA,NA,3,1,NA,NA,5,3,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,0,4,NA,NA,1,5
